nameGiven,starting_age,ending_age,career_length
Frederick Orrin,29,137,108
Philip Louis,20,128,108
Virgil Lee,22,130,108
John Emil,25,133,108
Chauncey Burr,21,129,108
James Andrew,22,129,107
David Lewis,23,130,107
Charles William,21,128,107
Frank George,20,127,107
Edward,22,129,107
William Hoffman,25,132,107
James Timothy,24,131,107
Charles Dana,20,127,107
Edward Perks,25,132,107
John Joseph,25,132,107
Hermas Walter,26,133,107
Lewis William,22,129,107
John Gerhard,25,132,107
Robert Lynn,33,140,107
George J.,23,129,106
Thomas Robert,21,127,106
George Henry,26,132,106
James McCutchen,21,127,106
Thomas Llewellyn,25,131,106
Frederick Augustus,25,131,106
Arthur William,23,129,106
William Leopold,25,131,106
George C.,26,132,106
John Robert,23,129,106
Richard Joseph,25,131,106
Robert Roy,23,129,106
William Lee,27,133,106
Thomas Vincent,26,131,105
Dale Dudley,24,129,105
Silas Clarke,19,124,105
William,24,129,105
James Tilford,21,126,105
Joseph,23,128,105
Frank Edward,26,131,105
Jeremiah Henry,21,126,105
Edward James,21,126,105
Arthur Francis,27,132,105
Wiley Harold,24,129,105
Algernon Griggs,27,132,105
Francis E.,24,129,105
William J.,22,127,105
George Henry,23,128,105
Edward Morgan,24,129,105
Walter Merrill,24,129,105
Howard Paul,21,126,105
James Albert,22,126,104
William Gideon,21,125,104
John Joseph,26,130,104
Roger,26,130,104
Henry James Peter,21,125,104
Peter James,24,128,104
William Martin,25,129,104
John,26,130,104
Clifford Wesley,21,125,104
James Jay,24,128,104
William Henry,25,129,104
Thomas Timothy,22,126,104
Clarence Francis,20,123,103
Frank Anthony,27,130,103
Robert Russell,27,130,103
Albert Edward,24,127,103
Albert Thomas,19,122,103
Richard Henry,26,129,103
Ervin F.,21,124,103
Thomas J.,24,127,103
Joseph Francis,22,125,103
Morris James,24,127,103
Oscar William,26,129,103
Walter Sidney,23,125,102
Robert Henry,23,125,102
Henry T.,24,126,102
Frederick L.,24,126,102
Charles Augustus,25,126,101
Pearce Nuget,32,133,101
Harvey Francis,23,124,101
Charles Wallace,24,125,101
Charles Timothy,129,159,30
Charles Evard,122,149,27
Lynn Nolan,19,46,27
John Joseph,121,148,27
Thomas Edward,20,46,26
Adrian Constantine,19,45,26
Jamie,24,50,26
Julio Cesar,24,49,25
Carlton Ernest,22,46,24
James Lee,21,45,24
Charles Oliver,22,46,24
Rickey Nelson Henley,21,45,24
Edward Trowbridge,119,143,24
Michael Thomas,19,43,24
Jesse Russell,22,46,24
John Picus,126,150,24
Timothy,20,43,23
Philip Henry,25,48,23
Theodore Amar,123,146,23
Walter James Vincent,121,144,23
Charles Herbert,119,142,23
Peter Edward,22,45,23
Paul Frederick,120,143,23
Omar Enrique,22,45,23
Tyrus Raymond,119,142,23
William Roger,22,45,23
John Walter,120,143,23
Steven Norman,21,44,23
John Rikard,20,43,23
Dennis Lee,21,44,23
Grover Allen,123,146,23
Richard Michael,21,43,22
Rogers,119,141,22
Henry Louis,20,42,22
Charles Albert,119,141,22
Guy Terrell,122,144,22
Rik Aalbert,19,41,22
Carl Michael,22,44,22
David Mark,22,44,22
Donald Howard,21,43,22
Daniel Joseph,19,41,22
Gregory Alan,20,42,22
Willie Howard,20,42,22
Jose Dennis,22,44,22
Herbert Jefferis,118,140,22
Atanasio,22,44,22
Brooks Calbert,18,40,22
Eppa,121,142,21
Jerry,20,41,21
Gaylord Jackson,24,45,21
Melvin Thomas,117,138,21
Joseph Franklin,23,44,21
Graig,23,44,21
Adolfo Domingo de Guzman,124,145,21
Joe Leonard,20,41,21
Clarence Elmer,120,141,21
James Timothy,18,39,21
Willie Lee,21,42,21
Tristram E.,119,140,21
John Andrew,21,42,21
James Luther,120,141,21
Gary Antonian,20,41,21
George Herman,119,140,21
James Howard,21,42,21
Barry Lamar,22,43,21
William Joseph,20,41,21
Walter William,120,141,21
Harold Douglas,21,42,21
James Joseph,122,143,21
Albert William,19,40,21
Samuel Pond,122,143,21
Randall David,25,46,21
Harmon Clayton,18,39,21
Thomas,21,42,21
George Kenneth,20,41,21
Thomas Michael,21,42,21
John Anthony,24,45,21
James Emory,118,138,20
Ronald Ray,20,40,20
Darrell Wayne,22,42,20
Charles John,118,138,20
Miguel Angel,122,142,20
Henry Morgan,121,141,20
Walter Perry,120,140,20
Waite Charles,119,139,20
Reginald Martinez,21,41,20
Frederick Wayne,23,43,20
Leo Ernest,120,140,20
Andre Nolan,22,42,20
Daniel Wayne,23,43,20
Frederick Behlmer,122,142,20
Earl Welton,123,143,20
Miguel Jerez,21,41,20
Charles Benjamin,124,144,20
James Philip,130,150,20
George Howard,20,40,20
Charles Arthur,124,144,20
David Lee,24,44,20
James Hoyt,30,50,20
Ruben Angel,21,41,20
Aloysius Harry,122,142,20
Ted Lyle,19,39,20
Wilver Dornel,22,42,20
Frank Daryl,20,40,20
Lyndall Dale,20,40,20
Jose Ramon Nova,21,41,20
Paul Leo,22,42,20
Terence John,23,43,20
Manuel Rafael,24,44,20
Eddie Clarence,21,41,20
Darren Christopher,23,43,20
Robert Arthur,119,139,20
Arthur Lee,22,42,20
Calvin Edwin,21,41,20
Frank,21,41,20
Ivan,20,40,20
Louis Victor,21,41,20
Alexander Emmanuel,19,38,19
Edgar Charles,125,144,19
Rickey Eugene,23,42,19
James Francis,119,138,19
James Alvin,20,39,19
Rafael,22,41,19
Ralph Foster,119,138,19
Kent Franklin,21,40,19
Carl Frederick Rudolf,119,138,19
Harold Abraham,23,42,19
George Florian,121,140,19
Frank Edwin,21,40,19
Alfonso Ramon,120,139,19
Clyde Leroy,125,144,19
David Andrew,22,41,19
Matthew Wade,24,43,19
Oscar Harland,123,142,19
Rudy Caballero,21,40,19
George Thomas,23,42,19
Curtis Montague,22,41,19
Benito,21,40,19
Kenneth Scott,25,44,19
Herold Dominic,119,138,19
Ralph Lee,121,140,19
Robin R.,19,38,19
James Laurie,24,43,19
Timothy Stephen,26,45,19
Paul Glee,123,142,19
Alan Stuart,19,38,19
James Kevin,21,40,19
Russell Aubrey,124,143,19
Craig Alan,23,42,19
Larry Eugene,22,41,19
Grover Cleveland,124,143,19
Santos,22,41,19
Richard William,120,139,19
Joseph V.,18,37,19
Dagoberto,22,41,19
Max George,120,139,19
Roger Maxwell,124,143,19
William Henry,20,39,19
Joseph Edward,120,139,19
Brian Jay,23,42,19
Paul Aloysius,17,36,19
Ralston Burdett,121,140,19
Raymond Hall,122,141,19
Floyd Caves,123,142,19
Derek Sanderson,21,40,19
Silas Kenneth,122,141,19
John William,21,40,19
Larry Wayne,21,40,19
Joseph Ignatius,121,140,19
Ralph,122,141,19
Jason Gilbert,24,43,19
Charles Leo,122,141,19
LaTroy,23,42,19
Melvin Leroy,119,138,19
Jesse Joseph,125,144,19
Richard Wallace,22,41,19
Anthony Keith,22,41,19
Dwight Michael,21,40,19
Urban Clarence,126,145,19
Gary Joseph,23,42,19
Andres Jose,24,43,19
Henry Eugene,22,41,19
Charles Leonard,121,139,18
Steven Patrick,21,39,18
Frank Francis,122,140,18
Octavio Antonio,21,39,18
Richard Benjamin,124,142,18
Fred Landis,124,142,18
Steven Allen,24,42,18
Gerald Wayne,21,39,18
John Joseph,18,36,18
Luis Emilio,23,41,18
Burleigh Arland,123,141,18
George Kenneth,23,41,18
Jerome Martin,25,43,18
Ronald Lee,20,38,18
Barry Louis,22,40,18
Douglas Reid,25,43,18
Sylvester W.,122,140,18
Ferguson Arthur,23,41,18
Michael Ray,22,40,18
Raul Javier,24,42,18
George Willis,120,138,18
Arthur L.,123,141,18
Harry Edwin,120,138,18
William Malcolm,121,139,18
Jose,23,41,18
Miguel Angel,22,40,18
Charles Theodore,21,39,18
David Ismael,22,40,18
Samuel Richard,121,139,18
Rodney Cline,22,40,18
Gary Edmund,20,38,18
John Robert,22,40,18
Don Edward,21,39,18
Johnnie B.,19,37,18
Ernest,22,40,18
Moises Rojas,24,42,18
Doyle Lafayette,21,39,18
Bob Kelly,22,40,18
Peter William,123,141,18
Robert Raymond,25,43,18
Raymond Bloom,120,138,18
Louis Clark,22,40,18
Luis Clemente,24,42,18
Terrance Lamont,120,138,18
Lloyd James,121,139,18
Fred,121,139,18
Louis Rodman,20,38,18
Zachariah Davis,121,139,18
Robert Jose,20,38,18
John David,22,40,18
Jonathan Thompson Walton,122,140,18
Willie James,21,39,18
Ivey Brown,121,139,18
Irvin Key,129,147,18
Fred,125,143,18
Jamey Alan,22,40,18
Richard Charles,19,37,18
Edd J.,120,138,18
Charles Henry,124,142,18
Scott Douglas,22,40,18
Walter Henry,124,142,18
John Richard,18,36,18
Harry,119,137,18
Russell Paul,24,42,18
Samuel Peralta,21,39,18
Chris Edward,21,39,18
William Michael,22,40,18
Osborne Earl,24,42,18
Charles N.,19,37,18
William James,23,41,18
Richard Lee,20,38,18
Frank Edward,22,40,18
Antonio Nemesio,23,41,18
Horace Milton,129,147,18
Alois Terry,22,40,18
Rudolph,21,39,18
Frederick Stanley,23,41,18
John Phalen,119,137,18
Robert Craig,23,41,18
Mark Tremell,22,40,18
Robert James,21,39,18
David Gene,22,40,18
Lance Michael,21,39,18
Claude Wilson,18,36,18
Fredie Hubert,20,38,18
Bobby Ray,19,37,18
Gregory Richard,21,39,18
John W.,23,41,18
Ronald Lee,24,42,18
Mariano,26,44,18
John Ludy,125,143,18
Jose Antonio,19,37,18
Andrew Eugene,23,41,18
Manuel Aristides,21,39,18
James Patrick,21,38,17
Valentine John,120,137,17
Keith Anthony,23,40,17
James Anthony,21,38,17
Vada Edward,20,37,17
Juan Roman,20,37,17
Daniel Thomas,24,41,17
William Henry,23,40,17
Willie Larry,21,38,17
Michael Cole,23,40,17
Dale Bryan,20,37,17
Albert,22,39,17
Amos Joseph,20,37,17
David Americo,22,39,17
Stephen Francis,120,137,17
Thomas Marian,24,41,17
Orlando Gregorio,25,42,17
Antonio Francesco,23,40,17
Roger Thorpe,119,136,17
Camilo Alberto,20,37,17
Robert Lane,18,35,17
John Scott,22,39,17
John Francis,126,143,17
Donald John,27,44,17
John Alexander,23,40,17
Willie Dean,24,41,17
Lee Andrew,22,39,17
Edgar,24,41,17
John Albert,21,38,17
Richard William,122,139,17
Pedro Jaime,21,38,17
Daniel Knowles,121,138,17
Mickey Charles,20,37,17
August Rodney,123,140,17
Jeffrey Scot,20,37,17
Ezra Ballou,22,39,17
Lee Arthur,23,40,17
David Keith,21,38,17
Truett Banks,125,142,17
Michael Jack,23,40,17
Mervyn John,127,144,17
Raymond William,120,137,17
William Herman,125,142,17
Bret William,20,37,17
Raymond Michael,20,37,17
Richard,123,140,17
William Ellis,21,38,17
Wilbur Forrester,20,37,17
Billy Leo,21,38,17
James,123,140,17
Frank,23,40,17
Jose Luis,21,38,17
Dennis Martin,21,38,17
George Ernest,121,138,17
Fernando,20,37,17
Michael August,25,42,17
Clayland Maffitt,125,142,17
Joseph Paul,20,37,17
Michael Augustine,21,38,17
Harold Joseph,122,139,17
Douglas Keith,25,42,17
Selva Lewis,24,41,17
Ellis Rena,23,40,17
Patrick Lance,25,42,17
John Frederick,121,138,17
Vida Rochelle,20,37,17
Oswald Louis,122,139,17
Wade Anthony,24,41,17
Luis Ernesto,22,39,17
Bradley David,24,41,17
Theodore Wade,22,39,17
Mark Henry,21,38,17
David Gus,21,38,17
Jay Stuart,21,38,17
Juan Jose,21,38,17
David Bruce,22,39,17
Jose Rosario Domec,20,37,17
Carroll Christopher,23,40,17
Richard Aldo,21,38,17
Bartolo,24,41,17
Roberto,21,38,17
Jack Anthony,20,37,17
David Brian,23,40,17
Jeffrey Guy,24,41,17
Roger,23,40,17
Eric Keith,22,39,17
Herman Thomas,20,37,17
Mark William,20,37,17
Virgil Lawrence,124,141,17
Victor Jose,27,44,17
Jay Hanna,120,137,17
Warren Livingston,21,38,17
Hazen Shirley,123,140,17
Johnny David,22,39,17
William Leopold,121,138,17
James Edward,23,40,17
Shawon Donnell,22,39,17
Richard Joseph,21,38,17
George Andrew,22,39,17
Orel Leonard,25,42,17
William Rodman,25,42,17
Trevor William,26,43,17
Torii Kedar,22,39,17
William Wattison,21,38,17
Jason Derik,23,40,17
Frederick Lawrence,124,141,17
Grant Dwight,23,40,17
Charles Devine,122,139,17
Stanley Julian Antonio,20,37,17
Frederick Edward,128,145,17
David Jefferson,121,138,17
Michael,20,37,17
George Lange,120,137,17
Vernon Sanders,20,37,17
Joseph Anthony,124,141,17
John Calvin,23,40,17
Paul Henry,21,38,17
Edward Emil,18,35,17
Jason Alan,22,39,17
Alfredo Claudino,19,36,17
Henry Benjamin,119,136,17
Leon Allen,121,138,17
Eugene Franklin,121,138,17
Michael William,21,38,17
Colbert Dale,21,38,17
Leonard Anthony,24,41,17
Roland Glen,22,39,17
Michael Kendall,24,41,17
William,21,38,17
James Patrick,23,40,17
Alan Duane,22,39,17
Woodrow Thompson,26,43,17
James Louis,19,36,17
Edward Charles,22,39,17
George Arthur,21,38,17
James Francis,19,36,17
Oscar Charles,20,36,16
James Elmer,23,39,16
Ronald Edwin,22,38,16
William Lawrence,122,138,16
Henry Louis,120,136,16
Kenneth Roth,24,40,16
Cornelius Clifford,21,37,16
James Michael,23,39,16
Elroy Leon,25,41,16
Andrew Auguste,19,35,16
Scott Gavin,22,38,16
Charles Edward,24,40,16
Louis Klopsche,121,137,16
Brian David,20,36,16
Robert Moses,125,141,16
Gregory Eugene,21,37,16
Edward Adrain,23,39,16
Jerry Wayne,21,37,16
Christopher Andrew,24,40,16
Dwight Eugene,20,36,16
Robert Anthony,21,37,16
Marquis Deon,22,38,16
Robert,24,40,16
Kirk Harold,22,38,16
John Wesley,22,38,16
Alexander,21,37,16
Juan Alberto,20,36,16
Mark Steven,22,38,16
Charles Herbert,124,140,16
James W.,17,33,16
Jeffrey Franklin,24,40,16
William Frederick,123,139,16
Andruw Rudolf,19,35,16
Deron Roger,22,38,16
Steven Roy,22,38,16
Harry Bartholomew,122,138,16
Michael Franklin,121,137,16
Raymond Ernest,21,37,16
William Jennings Bryan,122,138,16
Keith,21,37,16
Eisler Livan,21,37,16
Roberto Manuel,27,43,16
Todd Lynn,24,40,16
Jacinto Damion,23,39,16
Alphonso Erwin,20,36,16
Myron Walter,21,37,16
Eugene Abraham,123,139,16
Frank Peter Joseph,122,138,16
Carlos Juan,21,37,16
Cecil Celester,22,38,16
Craig John,25,41,16
Stanley Anthony,123,139,16
Rheal Paul,24,40,16
Royce Spencer,21,37,16
Cesar,19,35,16
Ronald Charles,23,39,16
Orlando Manuel,21,37,16
William Benjamin,122,138,16
Juan Gabriel,23,39,16
Bruce Kastulo,21,37,16
Eric Cesar,21,37,16
Joseph John,119,135,16
Jose,21,37,16
Thomas Caesar,26,42,16
Michael Terrance,22,38,16
Miguel Jesus,22,38,16
Norman Dalton,24,40,16
Ricardo Adolfo Jacobo,24,40,16
Morris,121,137,16
Johnny Lee,20,36,16
Rafael Leonidas,21,37,16
Adrian,19,35,16
Carlos Ivan,21,37,16
Joseph Wilbur,23,39,16
Felipe Rojas,23,39,16
Jesus Maria Rojas,21,37,16
Roberto,20,36,16
Wilson Eduardo,19,35,16
Alan Dean,22,38,16
Robert Sherwood,20,36,16
Stanley Raymond,22,38,16
Leon Kessling,121,137,16
Garret Joseph,22,38,16
Henry Ramon,26,42,16
Paul L. D.,20,36,16
James Alan,23,39,16
Cletis Leroy,18,34,16
Thomas Henry,25,41,16
John David,23,39,16
James Paul David,24,40,16
Leslie Ambrose,120,136,16
Brett Morgan,24,40,16
Thomas Jefferson Davis,124,140,16
James Thomas,23,39,16
Walter George,118,134,16
Thomas Tarlton,22,38,16
Jesus Manuel Marcano,23,39,16
Bobby Gene,23,39,16
Joseph Floyd,120,136,16
Timothy Charles,23,39,16
John Montgomery,18,34,16
Claudell,20,36,16
Edward John,25,41,16
Larry Kenneth Robert,23,39,16
Charles F.,122,138,16
Earl Oliver,124,140,16
Devon Markes,23,39,16
James Laverne,123,139,16
Robert Lynn,22,38,16
Matthew Derrick,22,38,16
Milton Edward,20,36,16
Allan Fulton,24,40,16
John Whitlow,122,138,16
Lynwood Thomas,123,139,16
Phillip Anthony,20,36,16
Scott Bruce,21,37,16
Ryne Dee,22,38,16
Reginald Laverne,24,40,16
George W.,23,39,16
Brian Douglas,25,41,16
Scott David,21,37,16
William Harold,120,136,16
Lonnie,23,39,16
Jack Thomas,24,40,16
Carl Reginald,21,37,16
Sherrod Malone,120,136,16
William Joseph,121,137,16
Darryl Eugene,21,37,16
Amos Aaron,119,135,16
Miguel Odalis,23,39,16
Forest Gregory,21,37,16
Julian,20,36,16
Henry Emmett,122,138,16
Johnny Leonard Roosevelt,124,140,16
William Stanley,20,36,16
Robert T.,20,36,16
Christopher,120,136,16
Edwin Lee,21,37,16
Patrick Joseph,121,137,16
Kenneth,24,40,16
Michael Stephen,23,39,16
Ernesto Natali,123,139,16
Fredric Michael,22,38,16
Derek Christopher,24,40,16
Joseph Michael,121,137,16
Stuart Leonard,25,41,16
Guillermo,18,34,16
George Anthony,122,138,16
James Evan,24,40,16
Chan Ho,21,37,16
Milton Stephen,18,34,16
Paul Andrew,22,38,16
John Garrett,21,37,16
Otis Junior,24,40,16
Glenn Calvin,123,139,16
Charles Solomon,121,137,16
Henry Harrison,120,136,16
Jeffrey Scott,22,38,16
Aurelio,20,36,16
David Allan,21,37,16
Stephen George,21,37,16
Edward Stewart,126,142,16
Lipman Emanuel,26,42,16
John Joseph,21,37,16
Darrell Ray,19,35,16
Jorge Rafael,24,40,16
Anthony John,22,38,16
Aramis,20,36,16
John Wesley,20,36,16
Thomas Albert,23,39,16
Alvin Jacob,122,137,15
Pedro,20,35,15
Joseph L.,19,34,15
Michael Joseph,24,39,15
Nathaniel Frederick,22,37,15
Placido Enrique,23,38,15
Walter Clement,120,135,15
Richard Allen,24,39,15
Jeffrey James,24,39,15
James Edward,21,36,15
Richard Alan,21,36,15
Michael John,25,40,15
Edgar Enrique,20,35,15
Daniel Francis,124,139,15
John Joseph,124,139,15
Joseph Michael,25,40,15
Michael Kelvin,20,35,15
Benjamin Ambrosio,22,37,15
Jose Antonio,22,37,15
Francis Joseph,122,137,15
Kenneth Ray,21,36,15
Charles Hugh,25,40,15
Edward Joseph,119,134,15
Steven,24,39,15
Jorge,22,37,15
Alejandro,22,37,15
Jose Benjamin,24,39,15
Donald Wayne,21,36,15
Gregory Brian,24,39,15
Trever Douglas,23,38,15
Kevin Austin,23,38,15
Edmund John,127,142,15
Jesse Clyde,120,135,15
Clarence Francis,121,136,15
Steven Rance,21,36,15
Roy David,22,37,15
Kenneth Lee,20,35,15
John Joseph,25,40,15
Frank Bernard,121,136,15
Mark David,23,38,15
Michael Francis,18,33,15
John Lee,23,38,15
Charles Fred,121,136,15
Albert Walter,23,38,15
Claude Edward,19,34,15
David Earl,27,42,15
Chester Earl,20,35,15
Thornton Starr,127,142,15
Albert Peter,122,137,15
James Kendrick,123,138,15
Gary Nathaniel,22,37,15
Richard John,21,36,15
Frank Spruiell,122,137,15
Constantino,23,38,15
David,22,37,15
Leslie,121,136,15
Juan Antonio,23,38,15
David Joseph,24,39,15
Sherwood Robert,120,135,15
Ronald Matthew,24,39,15
Michael John,22,37,15
Kenton Charles,27,42,15
James Wren,122,137,15
Garry Lewis,20,35,15
Frank Joseph,22,37,15
James Howard,23,38,15
George Cyril Methodius,122,137,15
Frank Elton,118,133,15
Rudolph,126,141,15
Alfonso Guilleard,23,38,15
James Michael,21,36,15
Donald Martin,24,39,15
Joseph,29,44,15
Henry Levai,120,135,15
Diego Pablo,25,40,15
Harold Henry,121,136,15
George Harold,122,137,15
Juan Milton,23,38,15
Octavio Victor,23,38,15
William George,121,136,15
Jeron Kennis,21,36,15
Joseph Oden,21,36,15
Robert Andrew,22,37,15
Randall Christopher,23,38,15
Leo Ernest,24,39,15
Robert Joe,23,38,15
Bernabe,23,38,15
Todd Edward,24,39,15
Gregory Owen,24,39,15
Samuel Filmore,123,138,15
William Edward,24,39,15
Lonnie,121,136,15
Jose Antonio,23,38,15
Randy Lee,25,40,15
Robin Mark,22,37,15
Salomon,21,36,15
Stephen Christopher,23,38,15
George Stuart,21,36,15
Lloyd Andrew,121,136,15
Albert John,19,34,15
Owen Joseph,121,136,15
Jeffrey Alan,19,34,15
Timothy Christopher,25,40,15
Allan James,22,37,15
George Henry,121,136,15
Lawrence Robert,25,40,15
James Leroy,122,137,15
Roberto Martin Antonio,23,38,15
Walter McKinley,123,138,15
Robert Kevin,22,37,15
William F.,119,134,15
Carlos Obed,22,37,15
Robert Thomas,18,33,15
Richard Warren,24,39,15
Henry John,24,39,15
Charles Wesley,24,39,15
John Cleave,120,135,15
Floyd Franklin,22,37,15
Salvatore Leonard,22,37,15
David James,124,139,15
Joseph Chris,23,38,15
Earl L.,22,37,15
Christopher John,22,37,15
John Wesley,19,34,15
Leonardo Lazaro,22,37,15
Edgar Victor,121,136,15
Vinicio,24,39,15
Jay Justin,123,138,15
David S.,23,38,15
John Francis,125,140,15
Estel Crayton,126,141,15
Ryan Scott,21,36,15
Arthur Bobby Lee,19,34,15
Anthony Francis,123,138,15
Mark Thomas,23,38,15
William John,123,138,15
Richard Edward,23,38,15
Woodson George,22,37,15
Kenneth Joseph,19,34,15
Joseph William,130,145,15
Jose Antonio,22,37,15
Carmen Proctor,120,135,15
John Frederick,22,37,15
William White,122,137,15
Elon Chester,126,141,15
Carl Owen,125,140,15
Frank Oliver,22,37,15
Thomas George,20,35,15
Timothy Adam,24,39,15
James Harle,122,137,15
Domingo Felix Andujar,23,38,15
Wallace Keith,24,39,15
Todd Barton Givin,25,40,15
Clarence James,123,138,15
Donald Eulon,22,37,15
David Arthur,23,38,15
Michael Joseph,21,36,15
Ryan Anthony,21,36,15
Edgar Leon,18,33,15
Darold Duane,24,39,15
Chadden Michael,24,39,15
Leondaus,24,39,15
Dennis Patrick,25,40,15
Mark Edward,24,39,15
Christopher Cory,22,37,15
David John,23,38,15
Walter,123,138,15
Richard Morrow,22,37,15
Mark Eugene,24,39,15
Melvin,21,36,15
Jerry Wayne,22,37,15
Stanley Camfield,123,138,15
Irving Darius,122,137,15
Harry Leroy,21,36,15
Mark James,25,40,15
Vladimir,21,36,15
Oswaldo Jose,21,36,15
Henry Knight,123,138,15
John Raymond,24,39,15
William Lee,20,35,15
Lawrence Cyril,23,38,15
Derrel McKinley,21,36,15
William Milton,123,138,15
David Andrew,22,37,15
Elburt Preston,118,133,15
Michael Lee,25,40,15
James C.,20,35,15
Kyle Lynn,23,38,15
Jeffrey Joseph,28,43,15
Howard Jonathan,121,136,15
Curtis Charles,18,33,15
Timothy John,20,35,15
David W.,22,37,15
