birthdate,players
1980-06-27,Luis Orlando
1980-06-30,Todd Anthony
1980-07-01,Nelson Ramon
1980-07-02,"Jermaine Russell, Nyjer Jamid"
1980-07-03,John Vincent
1980-07-07,Johnathan Richard
1980-07-10,Jesse William
1980-07-12,Bradley Ross
1980-07-15,"Christopher Anthony, Jung Keun, Nickolas Donald, Reginald Damascus"
1980-07-17,Justin Joseph
1980-07-21,"Carsten Charles, Kyuji"
1980-07-23,Dallas Lyle
1980-07-25,"Santiago, Shawn Willis"
1980-07-26,Jason Carl
1980-07-27,Felix Antonio
1980-07-29,Ryan Zachary
1980-07-30,Edwin A.
1980-08-08,"Craig Andrew, Joseph Buren"
1980-08-11,Kurt Daniel
1980-08-13,Jonah James
1980-08-15,Myreon Romel
1980-08-16,"Benjamin Anthony, Ryan Michael"
1980-08-17,"Brett Allen, Christopher Myron, Jeffrey Allen, Michael Patrick"
1980-08-18,Jason Kyle
1980-08-19,Lance Robert
1980-08-23,"Marcus Andre, Patrick Martin"
1980-08-24,Kevin John
1980-08-25,Neal Gordon
1980-08-26,Brendan Michael
1980-08-28,"Ryan Michael, Theodore Lester"
1980-08-30,"Roberto, Russ Moore"
1980-09-04,Patrick J.
1980-09-07,Mark William
1980-09-09,Justin Todd
1980-09-11,Matthew Thomas
1980-09-12,"Kevin Grant, Maicer, Sean Patrick"
1980-09-13,Daisuke
1980-09-17,Daniel John
1980-09-19,"Raymond Lee, Ryan Alan"
1980-09-23,Michael Frederick
1980-09-24,Jimmy Levale
1980-09-28,"Christopher Neil, Francisco Alberto"
1980-09-29,"Amos Dewon, Miguel"
1980-09-30,Bryan Paul
1980-10-01,Chad Robert
1980-10-09,Mark Steven
1980-10-10,Noah Ryan
1980-10-18,Shane Kenji
1980-10-19,"Jose Antonio, Rajai Lavae"
1980-10-20,Jose Enger
1980-10-21,"Jonathan Thomas, Troy Patrick"
1980-10-23,Pedro Antonio
1980-10-25,Clinton Scott
1980-10-27,Kelvin Rogelio
1980-10-30,"Laynce Michael, Michael James"
1980-11-06,Michael Paul
1980-11-08,Victor Manuel
1980-11-14,Sean Patrick
1980-11-18,Christopher John
1980-11-21,Hank Joe
1980-11-22,Jonathan Johnson
1980-11-23,Jonathan Robert
1980-11-24,Jeffrey Dewan
1980-11-25,Nicholas Thomas
1980-11-29,Brian Thomas
1980-11-30,Shane Patrick
1980-12-02,Eric Shane
1980-12-04,Gustavo Adolfo
1980-12-06,Ehren Josef
1980-12-09,Frederick Deshaun
1980-12-11,Joseph Matthew
1980-12-16,Joshua Alan
1980-12-17,Dale Scott
1980-12-20,Lucas Christopher
1980-12-21,Roger Royce
1980-12-22,Reid Evan
1980-12-23,Cody Joseph
1980-12-27,Jason Edward
1980-12-31,Jesse Craig
1981-01-02,Ryan Francis
1981-01-04,Jailen Alphonso
1981-01-05,Andres
1981-01-08,"Daniel Gerome, Derek Ryan, Jeffrey William"
1981-01-13,"Darrell Wayne, Jose Francisco"
1981-01-16,Mitchel Blake
1981-01-18,Brandon Michael
1981-01-20,"Freddy Antonio, John David"
1981-01-21,Wilfredo Jose
1981-01-25,Anderson Javier
1981-01-26,"Joshua David, Juan Manuel"
1981-01-28,Douglas Michael
1981-02-04,"Benjamin John, Thomas Raymond"
1981-02-07,Michael Seth
1981-02-12,Christopher Ryan
1981-02-14,Bradford Alexander
1981-02-16,"Jerry Lee, Sergio Armando"
1981-02-17,Andrew Aaron
1981-02-18,"Alex Eleazar, Alexis Israel"
1981-02-21,"Adam Daniel, Tsuyoshi"
1981-02-24,"Paul Michael, Robert McClure"
1981-02-28,Brian Patrick
1981-03-05,Francisley
1981-03-09,Clayton Anthony
1981-03-12,Carlos Javier
1981-03-13,Michael Anthony
1981-03-14,Robert Scott
1981-03-16,Curtis
1981-03-18,Darren Lawrence
1981-03-19,Jose Rondon
1981-03-23,"Anderson, Tony Francisco"
1981-03-24,Dirk Von
1981-03-26,Joshua Aaron
1981-03-27,Brian John
1981-03-28,Edwar Emilio
1981-04-02,"Brian David, Michael Howard"
1981-04-03,Ryan Matthew
1981-04-04,Sean Casey
1981-04-05,Jorge Alberto
1981-04-08,"Brian James, Matthew Lee"
1981-04-09,"Andrew James, Christopher Michael, Dennis Scott"
1981-04-12,Hisashi
1981-04-17,Ryan Neil
1981-04-18,Brian Phillip
1981-04-21,Ronny Leonel
1981-04-23,Sean Michael
1981-04-25,Sean Thomas
1981-04-27,Joey Renard
1981-04-28,"Chad Roque, Shawn Richard, Yoslan"
1981-04-29,Omir
1981-05-01,Manuel Alcides
1981-05-05,Christopher Edwin
1981-05-06,Dustin David
1981-05-08,"Alfredo, John Kevin"
1981-05-09,William R. W.
1981-05-11,Daniel David
1981-05-15,Justin Ernest George
1981-05-20,Kensuke
1981-05-21,Joshua Holt
1981-05-26,Benjamin Thomas
1981-05-28,"Daniel Alberto, Leonel"
1981-05-30,Reggie Gene
1981-05-31,"Jacob Edward, Rainer Gustavo"
1981-06-01,Carlos Alberto
1981-06-02,"Chin-hui, Levi Jared"
1981-06-03,"Munenori, Richard Lambert"
1981-06-06,Eddie Keith
1981-06-07,Tyler James
1981-06-08,Kevin Eric
1981-06-09,Drew Thomas
1981-06-11,Jason Robert
1981-06-15,Jeremy Thomas
1981-06-16,Joseph Francis
1981-06-18,Benjamin Joseph
1981-06-19,Walter Val
1981-06-21,"Garrett Thomas, Jeffrey Glen"
1981-06-28,Brandon Emil
1981-07-01,Matthew Reese
1981-07-02,Angel Manuel
1981-07-03,Daniel Livingston
1981-07-04,Francisco Alberto
1981-07-05,Jesse Alan
1981-07-07,Jonathan Lloyd
1981-07-09,Thomas Lee
1981-07-11,Blaine Thomas
1981-07-12,"Phillip Anthony, Samuel Franklin"
1981-07-19,Billy James
1981-07-22,Angel Aristides
1981-07-23,Hung-Chih
1981-07-25,Kevin
1981-08-03,"Felix Antonio, Travis Charlton"
1981-08-05,Carl Demonte
1981-08-08,Eddy
1981-08-10,Fernando
1981-08-13,"Michael Cory, Randall Jerome"
1981-08-14,Christopher Andrew
1981-08-15,Oliver
1981-08-18,Patrick Theodore Joseph
1981-08-24,Omar
1981-08-28,Yunesky
1981-08-29,Drew Edward
1981-08-30,Adam Parrish
1981-08-31,"Dennis Anthony, Ramon Emilio"
1981-09-03,Jacob Thomas
1981-09-06,Mark Thomas
1981-09-10,"James Connor, Kameron David"
1981-09-12,Franquelis Antonio
1981-09-13,Justin Duane
1981-09-14,Douglas Cody
1981-09-17,Robert Casey
1981-09-19,Timothy Scott
1981-09-20,Jordan Arthur
1981-09-21,"Scott Adam, William Henry"
1981-09-22,Alexei Fernando
1981-09-25,"Jason Chris, Rocco Dan"
1981-09-27,Michael Anthony
1981-09-30,Brandon Eric
1981-10-02,Marino
1981-10-03,Matthew Henry
1981-10-04,Joseph
1981-10-06,Joel Ryan
1981-10-13,Taylor
1981-10-14,Boof
1981-10-16,Anthony Loza
1981-10-17,"Edwin, Richard Brett"
1981-10-18,David Matthew
1981-10-23,Louis Benjamin
1981-10-24,"Beltran Ogilbio, Omar"
1981-10-28,Nathan Richard
1981-10-30,Ian Dante
1981-10-31,"Jared Linn, Michael Anthony"
1981-11-02,Wilson
1981-11-04,Erick Morgan
1981-11-05,"Jarrett George, Merkin R."
1981-11-07,David Benjamin
1981-11-09,Charles Hamilton
1981-11-10,Tony Hemiphere
1981-11-16,Fernando Jose
1981-11-19,Jeffrey Michael
1981-11-20,Samuel Babson
1981-11-21,Enrique Michael
1981-11-22,Oscar Eduardo
1981-11-29,Guillermo Antonio
1981-11-30,James Richard
1981-12-03,Christopher Doyle
1981-12-04,Jerome Lee
1981-12-08,Kory Christopher
1981-12-10,Victor Israel
1981-12-12,Shane Jeremy
1981-12-14,"Angel Moises, Shaun Michal"
1981-12-15,"Angel Manuel, Luis Anibal"
1981-12-18,Jeremiah Lee
1981-12-20,"Christopher Gregg, James Anthony"
1981-12-25,Willy
1981-12-26,"Alvin Enrique, Dustin Aaron, Omar Rafael"
1981-12-27,David Allan
1982-01-04,Jason Jerrod
1982-01-05,Norichika
1982-01-06,"Brian Michael, Scott Robert"
1982-01-07,"Brayan Eduardo, Francisco Jose"
1982-01-09,Ramon Antonio
1982-01-12,"Christopher Thomas, Dontrelle Wayne"
1982-01-15,"Armando Antonio, Melvin A."
1982-01-19,Michael Terry
1982-01-23,Wily Modesto
1982-01-30,Jorge Luis
1982-01-31,"Bradley Joseph, Yuniesky"
1982-02-01,Jean Manuel
1982-02-10,James Jordan
1982-02-16,Manuel
1982-02-17,Brian Anthony
1982-02-19,Christopher David
1982-02-20,Jason Michael
1982-02-21,Edwin Daniel
1982-02-22,"Adalberto, Kelly Andrew"
1982-02-24,"Gustavo Eduardo, Joseph Adam, Robert Nicholas"
1982-03-06,Cristhian A.
1982-03-08,Craig Leo
1982-03-11,Brian Nikola
1982-03-12,Zachary Charles
1982-03-15,"Juan Carlos, Steven Nash"
1982-03-16,Brian Patrick
1982-03-17,Arlington John
1982-03-18,"Chad Patrick, Jose Carlos"
1982-03-19,Landon Reed
1982-03-21,Aaron Walter
1982-03-22,Michael John
1982-03-24,"Dustin Michael, Heath Michael, Jon Corey, Robinson Garcia"
1982-03-26,Brendan Wood
1982-04-08,Kason Ronald
1982-04-09,Chad Karl
1982-04-10,"Andre Everett, Christopher Charles, Kristopher Colt"
1982-04-12,Justin Marshall
1982-04-14,Joshua S.
1982-04-15,Robert Michael
1982-04-22,David Kent
1982-04-25,Brian Deon
1982-04-26,Alejandro Jose
1982-04-28,James Matthew
1982-05-03,"Nicholas Lee, Robert Glenn"
1982-05-04,Christopher Matthew
1982-05-07,"Conor Sims, Luis Antonio"
1982-05-08,Adrian Sabin
1982-05-12,James Joseph
1982-05-14,Kevin Michael
1982-05-15,Rafael Jerome
1982-05-16,Eugenio
1982-05-17,Nicholas Allen
1982-05-21,Edward Lee
1982-05-24,Kevin Vincent
1982-05-25,"Bradley Michael, Jason James"
1982-05-26,"Carlos M., Joseph Steven"
1982-05-28,Jhonny Antonio
1982-05-29,Matthew Michael
1982-06-02,Timothy James
1982-06-07,Virgil Matthew
1982-06-09,Buck
1982-06-11,"Joshua Paul, Robert Griffin"
1982-06-14,Michael Travis
1982-06-19,Dustin William
1982-06-21,Arnaldo Rafel
1982-06-22,"Ian Michael, Jason Louis"
1982-06-23,Matthew Thomas
1982-06-25,Paul Gurner
1982-06-29,Dustin Robert
1982-06-30,"Delwyn Rudy, Mitchell William"
1982-07-01,Justin Patrick
1982-07-03,Logan French
1982-07-08,Renyel Eligio
1982-07-12,Thomas Stephen
1982-07-13,"Shin-Soo, Yadier Benjamin"
1982-07-14,Enrique Cesar
1982-07-15,"Fernando Alexis, Ryan Scott"
1982-07-16,Jason David
1982-07-17,Brian Alan
1982-07-18,Joshua Charles
1982-07-19,Phillip Douglas
1982-07-20,"Jacob Quirin, Jason Douglas"
1982-07-22,Robert James
1982-07-23,Joseph Paul
1982-08-02,Grady
1982-08-04,Joshua James
1982-08-06,Justin William
1982-08-08,"Curtis Ross, Donald Hassett, Matthew Benjamin"
1982-08-10,"Jeffrey Michael, Joshua Aaron"
1982-08-16,Freddy Carol
1982-08-17,Travis Anthony
1982-08-18,Joshua Matthew
1982-08-19,James Jerry
1982-08-26,Jayson Truitt Edward
1982-08-28,"Carlos Jose, Randy David"
1982-08-30,Sean Christopher
1982-08-31,Joshua J.
1982-09-02,"Jason Aaron, Rommie Lee, Wes Avi"
1982-09-03,Robert James
1982-09-08,Eugene MacAlalag
1982-09-12,Carmen Peter
1982-09-13,Rickie Darnell
1982-09-16,"Michael Gabriel, Ramon A., William Christopher"
1982-09-17,"Daniel Christopher, Sean Richard"
1982-09-18,Joseph Richard
1982-09-21,Gregory Francis
1982-09-24,Jeffrey Wayne
1982-09-25,Argenis N.
1982-09-26,Daniel Thomas
1982-09-28,"Hector C., Micah Burton"
1982-09-30,Garry Seth
1982-10-03,"Brett Michael, Matthew Earl"
1982-10-04,"Anthony Keith, Jered David, Ryan Keith"
1982-10-05,Michael David
1982-10-09,Jason Cory
1982-10-11,Jeffrey David
1982-10-12,"Casey Michael, Paul Ryan"
1982-10-14,"Carlos Agustin, Jerry Bienvenido"
1982-10-17,Abraham
1982-10-18,Ross Garrett
1982-10-19,James Anthony
1982-10-21,James Duffy
1982-10-22,"Brian Joseph, Carlos Ephriam, Darren Christopher, Robinson Jose"
1982-10-23,Denny M.
1982-10-24,Joseph Macay
1982-10-28,"Anthony Allen, Jeremy Allen"
1982-10-29,William Dion
1982-10-30,"Anderson Mejia, Jonathan, Manuel Alex"
1982-10-31,Alexander Omar
1982-11-02,Yunel
1982-11-04,"Christopher Paul, Evan Alan, Travis Jarred"
1982-11-05,Bryan Allan
1982-11-07,Brian Jeffery
1982-11-10,Matthew Thomas
1982-11-14,Fu-Te
1982-11-15,Jerad Lee
1982-11-16,Timothy Dayle
1982-11-17,Ty Andrew
1982-11-18,Brent Allen
1982-11-19,Jonathan Omar
1982-11-29,Anthony James
1982-12-02,Wyatt Reeder
1982-12-03,Manuel
1982-12-04,Matthew Jacob
1982-12-08,Alfredo
1982-12-12,Ervin Ramon
1982-12-13,Carlos Enrique
1982-12-14,Joshua Dean
1982-12-16,"Christopher Daniel, Ivan G."
1982-12-17,"Joshua LaRoy, Juan Manuel"
1982-12-19,Jeffrey Scot
1982-12-20,David Allen
1982-12-21,Philip Gregory
1982-12-23,John Bradley
1982-12-25,Ruben Bruce
1982-12-27,"Christopher Paul, Michael Ray"
1982-12-29,"Bradley Edward, Kevin Richard"
1982-12-30,James Urban
1982-12-31,"Julio Cesar, Ronald J."
1983-01-02,John Dale
1983-01-07,Edwin Elpidio
1983-01-09,"Brandon Kyle, Freddy"
1983-01-13,Andrew Frank
1983-01-16,Eider Lenina
1983-01-20,"Geovany, Matthew James"
1983-01-22,Jose
1983-01-26,Ryan Benjamin
1983-01-27,"Gavin Christopher, Michael Justin"
1983-01-28,Elizardo
1983-02-01,Dane David
1983-02-02,"Jason Matthew, Ronny Alexander"
1983-02-04,William Jose
1983-02-07,Scott Wynne
1983-02-08,"Burke Heinrich, Mauro Edward, Sebern Chase"
1983-02-13,Michael James
1983-02-14,Callix Sadeaq
1983-02-15,Russell Nathan Coltrane
1983-02-16,Ramon Jose
1983-02-19,Brad Thomas
1983-02-20,"Jose Guillermo, Justin Brooks"
1983-02-21,Franklin Rafael
1983-02-22,"Brian Matthew, Casey John, Charles Edward, Daniel James, Javier Arturo"
1983-02-23,Edgar Gerardo
1983-02-25,Jay William
1983-02-26,"Francisco, Jose Ariel, Joseph A."
1983-02-28,"Jeffrey Warren, Timothy Craig, Trent Carl Wayne"
1983-03-01,Blake Edward
1983-03-02,Glen Weston
1983-03-03,Brent P.
1983-03-04,Sergio Francisco
1983-03-07,"Andres Apolonio, Taylor Mark"
1983-03-08,"Christopher Raymond, Mark Robert"
1983-03-09,Willy Del Jesus
1983-03-10,"Donald Rex, Steven Daniel"
1983-03-16,"Brandon Paul, Rusty Allen, Stephen Oris"
1983-03-18,"Andrew Michael, Craig B."
1983-03-24,"Chad Edward, Devon Eugene"
1983-03-26,Eric Lynn
1983-03-30,Davis Javier
1983-03-31,Jeffrey Stephen
1983-04-01,"John Berton, William Daniel"
1983-04-06,"Bronson Kiheimahanaomauiakeo, Thomas Nicklaus"
1983-04-07,Wesley Guy
1983-04-08,"Christopher Domenic, Eric Scott, Robert Louis"
1983-04-11,Zachary Ernest
1983-04-13,"Hunter Andrew, Steven Wayne"
1983-04-14,"Adam William, Jeffrey Philip"
1983-04-16,Thomas Samuel
1983-04-18,"Alberto Ramon, Jose Miguel, Michael Richard"
1983-04-19,"Alberto Jose, Curtis Barnard, Joseph Patrick, Zachary Thomas"
1983-04-20,Thomas James
1983-04-23,Fernando
1983-04-24,Daniel Edward
1983-04-25,"Garrett Lee, James Phillip, Juan Miguel"
1983-04-28,David Richard
1983-05-10,George
1983-05-12,"Blake Thomas, Evan David, John Edward"
1983-05-13,"Clay W., Zachary Thomas"
1983-05-15,Clint Joseph
1983-05-16,Steven Craig
1983-05-17,Jeremy Bryan
1983-05-20,Adam Marcos
1983-05-28,"Cory Nathaniel, Humberto A."
1983-05-30,"Jae Kuk, Jairo Manuel"
1983-06-02,Joshua Brent
1983-06-04,Olise Cla
1983-06-05,William Paul
1983-06-06,Irving
1983-06-07,"Douglas Alan, Mark Christopher"
1983-06-09,Danny Adam
1983-06-10,"Matthew Bryan, Radhames Corey"
1983-06-11,Jose Bernabe
1983-06-17,David Wayne
1983-06-18,Jarrett Lee
1983-06-20,Kendrys
1983-06-27,James Robert
1983-06-29,"Michael LaDon, Pedro"
1983-06-30,Stephen Drew
1983-07-02,Samuel
1983-07-03,Edinson
1983-07-04,Sergio Jose
1983-07-05,Marco Rene
1983-07-07,"Brandon Patrick, Luke, Robert Joseph"
1983-07-08,John Brite
1983-07-09,"Miguel Angel, Robert Mehmet"
1983-07-11,Zachary Higgins
1983-07-12,"Howard Joseph, Tony Marcel"
1983-07-14,Juan Carlos
1983-07-17,"Adam Alan, Steven Edward"
1983-07-19,"Timothy Charles, Wilton"
1983-07-24,Guilder Alfredo
1983-07-31,Rene
1983-08-02,Huston Lowell
1983-08-03,Mark Andrew
1983-08-09,Andrew Edward
1983-08-13,Dallas Lee
1983-08-17,"Dustin Luis, James Benjamin, James Tyler"
1983-08-20,Lance Daniel
1983-08-21,"Jeffrey Burton, Jesse David"
1983-08-24,"Brett M., Thomas Alan"
1983-08-27,William Jennings
1983-08-29,Anthony Vito
1983-08-30,"Christopher Ryan, Michael Robert"
1983-08-31,Armando Leisdeker
1983-09-01,Jose G.
1983-09-02,Gabriel
1983-09-03,Matthew Dicus
1983-09-05,"Christopher Brandon, Jeffrey Allen"
1983-09-06,Jerry Richard
1983-09-08,Nicholas John
1983-09-09,"Alexander Rafael, Edwin, Hiram Kyle, John Rhyne, Michael A."
1983-09-10,"Joseph Daniel, Lance Michael"
1983-09-11,Jacoby McCabe
1983-09-12,Clayton Colby
1983-09-13,Andrew Christian
1983-09-14,John Graves
1983-09-15,Luke Anthony
1983-09-16,Brandon Douglas
1983-09-18,Brent Stuart
1983-09-19,"Charles Wallis, John Edward, Joseph Neal, Robinzon"
1983-09-20,Angel Luis
1983-09-24,Travis Takashi
1983-09-25,Miguel Angel
1983-09-26,Scott Edwin
1983-09-28,Jay Phillip
1983-10-04,Kurt Kiyoshi
1983-10-05,"Alexi, Felipe Adolfo"
1983-10-07,Ryan Lee
1983-10-08,Antoan Edward
1983-10-09,Jason Orville
1983-10-12,Nolan G.
1983-10-13,Christopher Jon
1983-10-14,Alberto A.
1983-10-17,Mitchell R.
1983-10-18,Garrett Andrew
1983-10-21,"Andy Manuel, Casey Michael, Donald Zachary"
1983-10-24,Christopher Adrian
1983-10-26,Francisco Casillas
1983-10-27,"Brent Aaron, Martin Manuel"
1983-10-28,Esmailin Manuel
1983-10-29,Dana James
1983-10-31,Luis Alonso
1983-11-01,Steven Wayne
1983-11-05,Juan Bautista
1983-11-06,Justin Adam
1983-11-07,Esmerling de Jesus
1983-11-10,"Brian Adam, Ryan Brent"
1983-11-12,Charles Alfred
1983-11-14,"Guillermo Alejandro, Michael Clete"
1983-11-15,Craig Robert
1983-11-17,"Nicholas William, Ryan Joseph, Scott Alanboyd, Trevor Thornton"
1983-11-18,Travis George
1983-11-20,Brock Alan
1983-11-23,Wesley Wade
1983-11-24,Jose Celestino
1983-11-26,Matthew Scott
1983-11-27,Jason Thomas
1983-11-28,Carlos Manuel
1983-11-29,Craig Alan
1983-12-10,Brandon Lamon
1983-12-16,Thomas Mark
1983-12-18,Jordan Cassidy
1983-12-21,"John Claiborn, Taylor Hill"
1983-12-22,"Blake Jonathan, Gregory Thomas"
1983-12-23,Hanley
1983-12-24,Gregor Miguel
1983-12-26,Yohan Jose
1983-12-27,Colbert Michael
1984-01-01,Neil Kannas
1984-01-04,John Patrick
1984-01-06,"Anthony Thomas, James Richard"
1984-01-07,"Carlos Fernando, Jonathan Tyler"
1984-01-08,"Jeffrey Braden, Kevin Joseph"
1984-01-09,Dustin A.
1984-01-10,David Hunter
1984-01-12,Scott Matthew
1984-01-14,"Erick Johan, Michael Alan"
1984-01-16,Matthew Michael
1984-01-18,Justin Joseph
1984-01-21,Robert Andrew
1984-01-22,Ubaldo
1984-01-24,Scott Edward
1984-01-25,Tyler Lewis
1984-01-30,Jeremy Ryan
1984-01-31,Joshua Michael
1984-02-02,Chin-lung
1984-02-04,Douglas Wildes
1984-02-09,Dioner Favian
1984-02-10,"Alex Jonathan, Luis Alfonso"
1984-02-11,Justin Richard
1984-02-13,Brett Gregory
1984-02-15,"Mitchell Thomas, Nathan John"
1984-02-18,Brian Thomas
1984-02-20,Brian Michael
1984-02-27,"Anibal Alejandro, Jose Rafael, Keiunta Denard, Scott William"
1984-03-09,"Craig N., Elliot Tyler"
1984-03-10,Aaron
1984-03-11,Frank Jesus
1984-03-12,"Eulogio, Jose Juan"
1984-03-14,Randor
1984-03-16,Harvey Anderson
1984-03-19,Russell Matt
1984-03-21,Warner Antonio
1984-03-22,Joseph Michael
1984-03-23,Jon Paul
1984-03-29,Micah Kila
1984-04-03,Kyle Ray
1984-04-08,Diory
1984-04-09,Adam A.
1984-04-11,"Alejandro Alberto, Andres Eloy"
1984-04-14,Christopher A.
1984-04-17,Jed Carlson
1984-04-18,Marcos Aurelio
1984-04-19,"Ambiorix, Jesus Andres"
1984-04-21,Zachary B.
1984-04-23,David Lawrence
1984-04-25,Robert Lazaro
1984-04-26,"Brian Scott, Shawn Andrew"
1984-04-27,Luis M.
1984-04-28,"Pedro Michel, Romulo Ignacio"
1984-04-29,"Cesar, William John"
1984-05-04,"Kevin Michael, Samuel R."
1984-05-07,James Anthony
1984-05-08,Adam Ross
1984-05-09,"Chase Jordan, Prince Semien"
1984-05-10,"Edward Jose, Kameron Kraig"
1984-05-12,Christopher James
1984-05-14,Lucas John
1984-05-15,Everett James
1984-05-16,Jensen Daniel
1984-05-18,"David Christopher, Joakim Agustin"
1984-05-24,Hector
1984-05-25,Graham Michael
1984-05-27,Miguel Angel
1984-05-30,Frank Joseph
1984-05-31,Andrew Scott
1984-06-01,Wilkin
1984-06-05,Robinson David
1984-06-06,Emiliano Ricardo
1984-06-07,Justin Christopher
1984-06-10,Travis Cole
1984-06-12,"Kyle William, Rogearvin Argelo"
1984-06-14,Jesus Antonio
1984-06-15,"Clifton Randolph, Timothy LeRoy"
1984-06-16,Jonathan Roy
1984-06-18,Fernando
1984-06-20,Cole Braden
1984-06-22,Cesar
1984-06-26,"Elijah David, Luis Armando"
1984-06-28,Clay Pflibson
1984-06-29,Hernan Alcides
1984-07-01,Richard Graeme
1984-07-02,Wladimir Ramon
1984-07-07,Alfredo
1984-07-08,Kevin Alexander
1984-07-11,"Jonathan Michael, Yorman Michael"
1984-07-15,"Anthony Paul, Brandon Paul"
1984-07-18,Allen Thomas
1984-07-20,Alexi
1984-07-26,"Brandon John, Kevin Martin"
1984-07-27,"Maxwell M., Tsuyoshi"
1984-07-29,"Chad Ryan, Mark Alan"
1984-07-31,Fernando
1984-08-01,Brandon Lee
1984-08-02,"Konrad Albert, Luke Trevor"
1984-08-03,"German, Matthew Ryan, Sergio Luis"
1984-08-05,Sean Frank
1984-08-06,Osiris G.
1984-08-07,Wade Matthew
1984-08-09,Graham H.
1984-08-10,Jeffrey Joseph
1984-08-11,Melky
1984-08-13,Boone
1984-08-14,Clay Daniel
1984-08-15,"Christopher Michael, Jarrod Martel, Tyson Colby"
1984-08-19,Marcos Jose
1984-08-20,Jamie Richard
1984-08-21,Melvin Emanuel
1984-08-22,David Gregory
1984-08-26,Kyle Rodney
1984-08-28,William Taylor
1984-08-30,Steven Richard
1984-09-02,Dusty Mitchell
1984-09-04,Jason Thomas
1984-09-07,Mauro Alexis
1984-09-08,"Robert Allen, Robert James"
1984-09-09,Brett Michael
1984-09-10,Andrew Marshall
1984-09-13,Jesse Logan
1984-09-14,"Joshua Stephen, Robert Jonathan"
1984-09-18,Donald Tyrone
1984-09-19,Daniel Paul
1984-09-21,"Carlos, Joaquin"
1984-09-23,Matthew Ryan
1984-09-24,"Rafael, Scott Alexander"
1984-09-25,"Michael John, Victor J."
1984-09-27,John Edward
1984-09-28,"Ryan Wallace, Thad G."
1984-10-01,"Christopher Dalton, Matthew Thomas"
1984-10-02,"Matthew Paul, Oswaldo Ramses"
1984-10-04,Robert Andrew
1984-10-10,Troy Trever
1984-10-11,Maximiliano R.
1984-10-13,"Hayden Andrew, Steven James"
1984-10-14,Kristofer Michael
1984-10-19,"James Zell, Joshua Aubry, Travis Jay"
1984-10-21,"Daniel Ray, Jose Manuel"
1984-10-24,Lucas James
1984-10-26,Jesus Miguel
1984-10-29,Jose Manuel
1984-10-30,Shane Michael
1984-10-31,Anthony Michael
1984-11-01,Stephen Guy
1984-11-02,Thomas Kevin
1984-11-03,"Brandon Lee, Jonathan Alejandro"
1984-11-06,"Atahualpa O., Ricardo"
1984-11-09,Joel Martin
1984-11-12,Cesar Enrique
1984-11-13,Etanislao Toni
1984-11-20,Joseph Albert
1984-11-21,Quintin Lonell
1984-11-22,Yusmeiro Alberto
1984-11-23,"Casper Charles, Justin Matthew, Robert"
1984-11-24,Irvin Joel Vigo
1984-12-03,Tobi Neal
1984-12-05,Joshua William
1984-12-07,Michael Joseph
1984-12-10,Gregorio Jesus
1984-12-11,Joshua James
